Sales_ID,Date,Product_ID,Customer_ID,Store_ID,Sales_Amount,Quantity,Discount,Profit
1,2024-01-10,P101,C001,S01,100,2,5,20
2,2024-01-15,P102,C001,S01,150,1,10,30
3,2024-02-05,P101,C002,S02,200,3,15,40
4,2024-02-10,P103,C002,S02,250,4,20,50
5,2024-03-01,P102,C003,S03,300,5,25,60
6,2024-03-05,P104,C003,S03,350,6,30,70
7,2024-04-12,P101,C004,S04,400,7,35,80
8,2024-04-18,P105,C004,S04,450,8,40,90
9,2024-05-20,P103,C005,S05,500,9,45,100
10,2024-05-25,P106,C005,S05,550,10,50,110
11,2024-06-10,P102,C006,S06,600,11,55,120
12,2024-06-15,P107,C006,S06,650,12,60,130
13,2024-07-01,P104,C007,S07,700,13,65,140
14,2024-07-05,P108,C007,S07,750,14,70,150
15,2024-08-10,P105,C008,S08,800,15,75,160
16,2024-08-15,P109,C008,S08,850,16,80,170
17,2024-09-01,P106,C009,S09,900,17,85,180
18,2024-09-05,P110,C009,S09,950,18,90,190
19,2024-10-10,P107,C010,S10,1000,19,95,200
20,2024-10-15,P111,C010,S10,1050,20,100,210